Bank Name,Established,Headquarters,Paid-up capital,
Agriculture Development Bank,1968,"Ramshahpath, Kathmandu",रु 1862.04 crore,
Nepal Bank,,1937,,"Dharmapath, Kathmandu",,रु 1469.40 crore,
Rastriya Banijya Bank,,1966,,"Singhadurbarplaza, Kathmandu",,रु 1463.74 crore,,,
Citizens Bank International,2007,"Narayanhitipath, Kathmandu",रु 1420.10 crore,
Everest Bank,1994,"Lazimpat, Kathmandu",रु 1069.81 crore,
Global IME Bank,2012,"Kamaladi, Kathmandu",रु 3577.11 crore,
Himalayan Bank,,1993,,"Kamaladi, Kathmandu",,रु 2165.66 crore,
Kumari Bank,2001,"Durbarmarg, Kathmandu",रु 2622.59 crore,
Laxmi Bank,2002,"Hattisar, Kathmandu",रु 1155.13 crore,
Machhapuchhre Bank,2012,"Lazimpat, Kathmandu",रु 1025.72 crore,
Nabil Bank,1984,"Beena Marg, Kathmandu",रु 2705.70 crore,
Nepal Investment Mega Bank,2023,"Durbarmarg, Kathmandu",रु 3412.86 crore,
Nepal SBI Bank,1993,"Kesharmahal, Kathmandu",रु 1012.06 crore,
NIC Asia Bank,2013,"Thapathali, Kathmandu",रु 1156.40 crore,
NMB Bank,2008,"Babarmahal, Kathmandu",रु 1836.67 crore,
Prabhu Bank,2016,"Babarmahal, Kathmandu",रु 2354.25 crore,
Prime Commercial Bank,2007,"Kamalpokhari, Kathmandu",रु 1940.26 crore,
Sanima Bank,2012,"Nagpokhari, Kathmandu",रु 1246.01 crore,
Siddhartha Bank,2002,"Hattisar, Kathmandu",रु 1409.00 crore,
Standard Chartered Bank,1987,"Nayabaneshwor, Kathmandu",रु 942.95 crore,
Sunrise Bank,2007,"Gairidhara, Kathmandu",रु 1011.89 crore,
