Company name,Country/region of headquarters,
Accenture,Ireland,
Acer,Taiwan,,
Adobe,United States of America,
Advanced Micro Devices (AMD),United States of America,
Advantest,Japan,
Akamai Technologies,United States of America,
Alphabet,United States of America,
Amazon,United States of America,
Amdocs,United States of America,
Analog Devices,United States of America,
Apple,United States of America,
Applied Materials,United States of America,,
ARRIS International ,United States of America,
ASE Group,Taiwan,
ASM Pacific Technology ,Hong Kong,
ASUS,Taiwan,
Atos,France,
Autodesk,United States of America,
CA Technologies,United States of America,
Canon,Japan,,
Capgemini,France,
Celestica,Canada,
CGI,Canada,,
Cisco ,United States of America,
Cognizant,United States of America,
CommScope,United States of America,
Computacenter,United Kingdom,
Computershare,Australia,
dormakaba ,Switzerland,
DXC Technology,United States of America,
eBay Inc.,United States of America,
Ericsson,Sweden,
Facebook,United States of America,
FUJIFILM,Japan,
Fujikura Ltd.,Japan,
Fujitsu Ltd.,Japan,
Gemalto,Netherlands,
HCL Technologies Ltd.,India,
Hewlett Packard Enterprise,United States of America,
HP,United States of America,
IBM,United States of America,
Infineon Technologies,Germany,
Infosys,India,
Intel,United States of America,
Intuit,United States of America,,
Lam Research ,United States of America,,
Leidos,United States of America,
Lenovo,China,
LG Electronics,Korea; Republic (S. Korea),
LITE-ON Technology,Taiwan,
ManTech International Corporation,United States of America,,
Mastercard,United States of America,
Micron Technology,United States of America,
Microsoft,United States of America,,
Motorola Solutions,United States of America,
Nanya Technology,Taiwan,
National Instruments ,United States of America,
NCR Corporation,United States of America,
NEC,Japan,
Nokia,,Finland,
Nvidia,United States of America,
NXP Semiconductors,Netherlands,
"OKI Electric Industry Co., Ltd.",Japan,
ON Semiconductor,United States of America,
Oracle,United States of America,
PEGATRON Corporation,Taiwan,
Powertech Technology Inc.,Taiwan,
Qisda Corporation,Taiwan,
Qualcomm,United States of America,
Quanta Computer,Taiwan,
Renesas Electronics Corporation,Japan,
ROHM,Japan,
Salesforce,United States of America,
Samsung Electronics ,Korea; Republic (S. Korea),
SAP,Germany,
Seiko Epson Corporation,Japan,
Sharp Corporation,Japan,
Siliconware Precision Industries Ltd. (SPIL),Taiwan,
SK Hynix Inc.,Korea; Republic (S. Korea),
SONY,Japan,,
Sopra Steria,France,
STMicroelectronics,Switzerland,
Symantec Corporation,United States of America,
"Taiwan Semiconductor Manufacturing Co., Ltd. (TSMC)",Taiwan,
Tata Consultancy Services,India,
Tech Mahindra,India,
Tencent,China,
Teradata,United States of America,
Texas Instruments,United States of America,
Tieto,Finland,
Tokyo Electron,Japan,
Total System Services (TSYS),United States of America,
Unisys,United States of America,
United Microelectronics Corporation,Taiwan,,
VMware,United States of America,
Wipro,India,
Wistron Corporation,Taiwan,,
Workday,United States of America,
Xerox Corporation,United States of America,
ZTE Corporation,China,
