Rank,Country,2023 (Billions),2024,2025,2026,2027,2028
1,United States,"26,854.599","27,741.123","28,765.960","29,902.871","31,091.594","32,349.658"
2,China,"19,373.586","20,881.368","22,407.691","24,035.813","25,722.406","27,492.803"
3,Japan,"4,409.738","4,526.480","4,731.496","4,923.430","5,077.123","5,344.032"
4,Germany,"4,308.854","4,446.466","4,635.160","4,822.110","4,947.322","5,044.443"
5,India,"3,736.882","4,062.154","4,403.354","4,765.545","5,153.012","5,575.474"
6,United Kingdom,"3,158.938","3,375.217","3,573.614","3,792.705","4,015.519","4,245.423"
7,France,"2,923.489","3,018.894","3,133.395","3,232.744","3,321.712","3,390.900"
8,Russia,"2,062.649","2,118.252","2,159.054","2,206.010","2,234.733","2,266.255"
9,Canada,"2,089.674","2,178.816","2,280.955","2,385.395","2,492.361","2,605.184"
10,Italy,"2,169.745","2,217.748","2,285.284","2,347.432","2,406.849","2,450.426"
11,Brazil,"2,081.235","2,210.617","2,321.850","2,449.002","2,587.519","2,758.832"
12,Australia,"1,707.548","1,720.118","1,787.454","1,854.393","1,929.678","2,005.403"
13,South Korea,"1,721.909","1,792.727","1,870.628","1,949.776","2,033.334","2,123.030"
14,Mexico,"1,663.164","1,732.946","1,796.644","1,860.419","1,928.854","2,003.179"
15,Spain,"1,492.432","1,560.052","1,617.657","1,668.550","1,716.114","1,753.505"
16,Indonesia,"1,391.778","1,508.547","1,631.609","1,760.505","1,898.989","2,048.504"
17,Saudi Arabia,"1,061.902","1,082.076","1,120.109","1,161.992","1,207.509","1,256.783"
18,Netherlands,"1,080.880","1,135.120","1,175.499","1,214.303","1,251.471","1,284.130"
19,Turkey,"1,029.303","1,087.052","1,146.192","1,209.774","1,272.781","1,334.701"
20,Switzerland,869.601,915.849,954.403,"1,005.767","1,048.669","1,106.478"
21,Taiwan,790.728,843.191,878.779,918.448,953.368,990.753
22,Poland,748.887,800.483,864.358,920.306,971.474,"1,003.034"
23,Argentina,641.102,638.583,635.705,650.141,680.511,712.153
24,Sweden,599.052,615.490,636.845,655.411,677.406,698.955
25,Belgium,624.248,642.690,659.488,676.908,694.044,708.916
26,Norway,554.105,564.396,571.696,573.265,582.116,591.431
27,Thailand,574.231,616.998,653.384,690.648,729.490,767.000
28,Ireland,594.095,633.701,667.656,698.210,729.268,757.470
29,Israel,539.223,563.267,590.035,618.040,648.112,679.463
30,United Arab Emirates,498.978,519.226,545.063,573.956,605.332,639.339
31,Nigeria,506.601,553.667,625.355,708.372,805.316,915.634
32,Egypt,387.110,368.308,400.600,434.209,470.474,509.920
33,Austria,515.199,530.106,548.970,563.804,584.249,595.398
34,Singapore,515.548,537.255,561.337,586.838,613.422,641.321
35,Bangladesh,420.516,469.346,525.290,589.000,663.597,744.067
36,Malaysia,447.026,481.798,520.313,559.141,595.072,634.978
37,Vietnam,449.094,498.373,550.470,605.299,662.903,725.529
38,South Africa,399.015,415.254,430.003,443.573,456.742,468.557
39,Philippines,440.901,475.646,512.006,551.120,593.712,640.180
40,Denmark,405.626,419.888,437.632,455.950,475.381,495.770
41,Hong Kong,382.854,403.547,424.475,445.896,468.014,490.965
42,Iran,367.968,388.838,405.547,423.330,442.499,465.846
43,Colombia,334.689,347.373,364.474,384.257,404.953,426.763
44,Romania,348.902,376.671,405.203,429.652,450.933,469.624
45,Chile,358.557,375.697,390.637,405.401,422.350,441.444
46,Czech Republic,330.483,355.859,378.374,394.847,408.880,422.350
47,Finland,301.670,310.607,319.374,328.025,336.151,343.237
48,Iraq,267.893,277.826,289.104,301.808,314.934,329.103
49,Portugal,267.721,277.811,288.962,299.586,309.927,318.602
50,Peru,268.235,279.456,292.885,306.954,321.476,336.740
51,New Zealand,251.969,251.404,260.366,272.822,286.597,301.358
52,Kazakhstan,245.695,259.683,275.633,286.957,298.179,316.213
53,Qatar,219.570,225.670,237.335,247.667,257.570,267.842
54,Greece,239.300,248.274,256.696,264.337,271.311,276.698
55,Algeria,206.007,210.860,218.341,225.090,228.991,232.992
56,Kuwait,164.713,165.209,166.604,169.566,172.647,176.373
57,Hungary,188.505,203.320,212.229,219.954,226.088,230.875
58,Ukraine,148.712,,,,,
59,Morocco,138.781,147.078,155.346,163.613,172.551,181.978
60,Angola,117.877,124.102,130.262,136.042,143.146,151.540
61,Ethiopia,156.083,184.215,213.199,234.668,256.612,280.983
62,Puerto Rico,120.838,121.531,123.037,125.124,126.950,128.986
63,Ecuador,121.291,126.449,131.202,136.314,141.514,146.911
64,Kenya,118.130,121.479,128.959,135.973,143.872,151.984
65,Oman,104.902,109.689,112.324,115.584,119.526,123.936
66,Slovak Republic,127.533,135.620,142.144,148.427,154.532,160.092
67,Dominican Republic,121.289,129.940,139.264,149.106,159.637,171.014
68,Guatemala,102.309,111.017,119.475,128.231,137.725,147.985
69,Venezuela,96.628,100.633,,,,
70,Bulgaria,100.635,105.919,111.191,116.288,121.581,126.428
71,Luxembourg,86.971,90.464,95.037,98.939,102.718,106.014
72,Uzbekistan,92.332,103.530,116.282,131.765,148.984,168.662
73,Turkmenistan,82.649,91.796,102.240,113.826,126.927,141.675
74,Tanzania,85.421,94.178,102.803,112.438,123.598,136.094
75,Belarus,73.543,75.264,77.662,80.035,82.490,85.829
76,Ghana,66.622,67.903,71.791,76.227,81.207,86.624
77,Panama,77.257,82.145,87.140,92.438,98.058,104.020
78,Uruguay,77.313,80.810,84.414,87.782,91.422,94.984
79,Croatia,78.881,82.961,87.047,91.210,95.177,98.759
80,Serbia,73.961,80.540,88.226,95.733,103.284,110.406
81,Lithuania,78.346,85.052,91.019,96.135,100.367,103.382
82,Ivory Coast,77.047,83.225,89.969,96.929,103.889,111.136
83,Azerbaijan,70.030,74.681,79.506,84.001,88.614,93.633
84,Costa Rica,77.777,81.935,86.375,91.021,95.944,101.002
85,Democratic Republic of the Congo,69.474,77.081,85.728,95.383,105.936,116.867
86,Slovenia,68.108,72.120,76.464,80.311,84.109,87.545
87,Myanmar,63.988,67.348,70.772,74.348,78.262,82.780
88,Sudan,46.705,42.143,42.858,43.950,45.765,54.841
89,Uganda,49.792,53.793,58.911,65.136,71.003,76.988
90,Jordan,52.061,55.013,58.072,61.302,64.712,68.319
91,Tunisia,49.815,51.530,52.682,54.542,56.773,58.872
92,Bahrain,44.870,47.094,49.353,51.466,53.721,56.119
93,Libya,46.297,48.315,50.248,51.568,52.916,54.385
94,Cameroon,48.625,52.603,55.154,57.138,58.896,60.298
95,Bolivia,46.097,48.707,51.619,54.601,57.812,61.211
96,Latvia,47.398,50.204,53.100,56.049,59.042,61.830
97,Paraguay,42.820,45.283,48.490,51.291,54.327,57.611
98,Nepal,42.097,46.207,50.211,54.523,59.198,64.328
99,Estonia,41.551,44.556,48.538,51.975,55.506,59.072
100,Zimbabwe,29.931,26.674,27.978,28.435,26.699,27.779
101,Papua New Guinea,32.860,33.543,33.858,35.973,38.266,40.664
102,El Salvador,33.752,35.059,36.435,37.884,39.347,40.936
103,Honduras,34.338,36.353,38.289,40.578,43.004,45.575
104,Cambodia,30.628,32.934,35.530,38.415,41.404,44.657
105,Zambia,29.272,31.469,33.931,36.693,39.669,42.947
106,Cyprus,30.864,32.337,34.083,35.833,37.551,39.052
107,Trinidad and Tobago,28.223,29.490,30.337,30.927,31.607,32.309
108,Iceland,28.625,30.964,33.216,35.602,38.309,41.191
109,Senegal,31.221,35.005,36.463,37.928,39.174,43.388
110,Bosnia and Herzegovina,28.488,29.951,30.732,31.296,31.561,31.730
111,Georgia,27.947,29.948,32.533,35.239,38.124,40.936
112,Macao SAR,35.841,44.716,49.860,53.118,56.301,59.827
113,Gabon,20.330,20.864,21.568,22.646,23.158,23.920
114,Yemen,19.529,21.102,24.915,28.624,30.690,32.223
115,Haiti,26.580,27.616,28.570,29.655,30.680,31.629
116,Guinea,23.300,25.425,27.464,29.504,31.674,33.903
117,Burkina Faso,21.076,22.645,24.372,26.071,27.838,29.568
118,Armenia,23.725,25.121,26.251,27.295,28.896,31.021
119,Botswana,19.572,20.914,22.208,23.876,25.589,27.471
120,Mali,20.776,22.268,23.601,24.955,26.330,27.633
121,West Bank and Gaza,19.206,19.996,20.743,21.416,22.282,23.184
122,Albania,20.177,20.847,21.932,23.086,24.217,25.460
123,Mozambique,19.909,22.228,23.736,25.391,29.840,34.849
124,Malta,19.405,20.512,21.575,22.666,23.770,24.799
125,Benin,19.236,20.638,21.770,22.829,23.793,25.700
126,Mongolia,16.908,17.726,19.025,20.366,21.768,23.561
127,Brunei Darussalam,15.506,15.902,16.504,16.967,17.626,18.207
128,Equatorial Guinea,15.099,13.238,12.386,12.513,12.848,12.979
129,Jamaica,17.254,18.108,18.890,19.587,20.304,21.052
130,Nicaragua,17.287,18.381,19.391,20.463,21.594,22.788
131,Lao P.D.R.,14.091,13.940,14.701,15.632,16.624,17.701
132,Madagascar,15.969,17.137,18.561,20.040,21.699,23.792
133,Niger,16.617,19.000,20.610,22.229,23.914,25.582
134,Guyana,16.309,22.014,22.630,29.580,30.462,31.425
135,Moldova,15.829,16.980,17.745,18.869,19.757,21.718
136,North Macedonia,15.278,16.593,17.644,18.680,19.745,20.732
137,The Bahamas,14.114,14.766,15.330,15.887,16.424,16.974
138,Mauritius,14.570,15.477,16.207,16.935,17.590,18.284
139,Rwanda,13.149,13.634,14.540,15.572,16.723,18.297
140,Republic of Congo,13.031,13.698,14.082,14.544,14.990,15.348
141,Malawi,11.277,10.891,11.170,11.629,12.285,12.990
142,Namibia,13.486,14.286,14.808,15.206,15.552,15.792
143,Chad,11.962,12.577,13.282,14.127,15.038,16.008
144,Kyrgyz Republic,12.039,12.842,13.711,14.610,15.461,16.231
145,Tajikistan,12.796,14.241,15.373,16.601,17.905,19.320
146,Mauritania,10.966,11.392,11.934,12.359,12.875,13.405
147,Kosovo,9.990,10.701,11.161,11.537,11.828,12.134
148,Togo,9.001,9.651,10.117,10.563,11.367,12.232
149,Somalia,8.738,9.429,10.260,11.128,12.052,12.995
150,South Sudan,7.012,7.077,7.207,7.530,7.962,8.717
151,Maldives,7.004,7.613,8.288,8.950,9.628,10.322
152,Montenegro,7.027,7.571,8.015,8.435,8.833,9.195
153,Barbados,6.117,6.517,6.868,7.199,7.524,7.863
154,Fiji,5.385,6.106,6.534,6.936,7.334,7.739
155,Eswatini,4.824,5.110,5.268,5.423,5.550,5.621
156,Liberia,4.375,4.720,5.125,5.561,6.009,6.468
157,Sierra Leone,3.520,3.607,3.781,4.066,4.472,4.830
158,Burundi,3.234,3.341,3.881,4.362,4.909,5.467
159,Timor-Leste,1.988,2.002,2.146,2.299,2.463,2.638
160,Djibouti,3.916,4.283,4.631,4.985,5.365,5.775
161,Suriname,3.470,3.780,3.964,4.187,4.436,4.687
162,Aruba,3.633,3.766,3.904,4.028,4.154,4.284
163,Andorra,3.669,3.823,3.868,3.870,3.874,3.838
164,Belize,3.162,3.306,3.425,3.537,3.651,3.770
165,Bhutan,2.683,2.837,3.056,3.342,3.547,3.758
166,Lesotho,2.584,2.708,2.841,2.958,3.068,3.276
167,Central African Republic,2.736,2.909,3.016,3.110,3.185,3.373
168,Eritrea,2.666,2.866,3.092,3.356,3.655,3.942
169,Cabo Verde,2.468,2.636,2.758,2.867,2.948,3.011
170,The Gambia,2.277,2.501,2.699,2.864,3.048,3.247
171,St. Lucia,2.262,2.371,2.480,2.584,2.687,2.794
172,Seychelles,1.950,2.082,2.220,2.357,2.550,2.623
173,Guinea-Bissau,1.887,2.023,2.127,2.228,2.320,2.389
174,San Marino,1.807,1.846,1.895,1.944,1.992,2.031
